,id,city,country,lat,lon,date,temperature,humidity,cloudiness,wind speed
57,2455735,Kangaba,ML,11.94,11.94,1522959960,84.64,45,0,7.07
65,2985947,Porto-Vecchio,FR,41.59,41.59,1522958400,52.97,81,0,16.11
80,3130607,Valer,ES,41.76,41.76,1522959930,47.38,64,0,9.64
89,527321,Mezen,RU,65.85,65.85,1522959932,35.23,87,88,6.62
90,2425791,Kibala,TD,9.11,9.11,1522958400,89.6,38,0,9.98
95,698438,Ordzhonikidze,UA,44.96,44.96,1522959932,45.94,93,32,2.37
103,3981432,Todos Santos,MX,23.45,23.45,1522957680,85.44,28,40,11.41
104,143534,Mahmudabad,IR,36.63,36.63,1522954800,51.8,93,0,2.24
116,1490655,Sumkino,RU,58.11,58.11,1522959964,28.48,89,88,5.73
133,2259655,Impfondo,CD,1.62,1.62,1522959974,71.41,100,64,2.48
163,5598538,Lewiston,US,46.42,46.42,1522958160,51.66,81,90,10.29
211,893549,Chipinge,ZW,-20.19,-20.19,1522959969,70.78,93,36,3.38
223,2023226,Kamen-Rybolov,RU,44.75,44.75,1522959647,26.41,83,48,2.59
257,542463,Krasnoarmeysk,RU,56.12,56.12,1522956600,41,90,0,6.71
258,4004293,Ixtapa,MX,20.71,20.71,1522957560,78.8,61,5,10.29
262,2189343,Kaeo,NZ,-35.1,-35.1,1522959921,63.94,81,0,5.61
272,1314759,Lashio,MM,22.93,22.93,1522959921,60.34,78,0,1.81
287,5699404,Scottsbluff,US,41.87,41.87,1522957980,57.04,33,1,16.11
327,1485312,Zdvinsk,RU,54.7,54.7,1522959923,22.81,82,0,10.42
337,2255564,Ouesso,CG,1.61,1.61,1522959914,71.86,99,64,3.04
344,1254046,Tura,IN,25.52,25.52,1522959985,65.83,97,92,3.71
347,4618057,Dickson,US,36.08,36.08,1522958160,54.68,26,1,3.94
442,1854246,Okuchi,JP,32.07,32.07,1522959919,61.33,90,88,5.17
447,3572375,Freeport,BS,26.54,26.54,1522958400,78.8,74,75,8.05
459,1253628,Ginda,IN,30.69,30.69,1522959920,45.49,91,32,2.04
464,3401148,Cururupu,BR,-1.82,-1.82,1522959952,79.78,88,44,3.83
482,1640972,Katobu,ID,-4.94,-4.94,1522959954,81.58,99,48,2.59
489,1267819,Karauli,IN,26.5,26.5,1522959923,70.24,62,8,5.28
7,204405,Uvira,CD,-3.41,-3.41,1522959925,62.41,100,56,2.59
23,2125693,Evensk,RU,61.92,61.92,1522959926,26.77,86,0,15.68
25,1268008,Kanniyakumari,IN,8.08,8.08,1522959926,85.18,100,8,8.41
33,2120261,Uglegorsk,RU,49.08,49.08,1522959936,16.69,79,0,2.15
41,2650328,Bexhill,GB,50.84,50.84,1522957800,42.89,75,36,8.05
43,2347758,Bara,NG,10.41,10.41,1522959928,75.82,34,0,4.27
55,158024,Kibakwe,TZ,-6.71,-6.71,1522959959,65.47,92,12,2.93
71,2013375,Vitim,RU,59.44,59.44,1522959929,13.81,73,64,5.06
79,650705,Kalevala,FI,64.12,64.12,1522959939,40.09,94,92,7.63
86,1622318,Waingapu,ID,-9.65,-9.65,1522959941,67.99,97,0,2.82
130,1735902,Sibu,MY,2.29,2.29,1522958400,75.2,100,75,2.24
